,SOURCE_NUMBER,CATALOG_NUMBER,EXTENSION,ASTR_INSTRUM,PHOT_INSTRUM,X_IMAGE,Y_IMAGE,ERRA_IMAGE,ERRB_IMAGE,ERRTHETA_IMAGE,ALPHA_J2000,DELTA_J2000,ERRA_WORLD,ERRB_WORLD,ERRTHETA_WORLD,EPOCH,MAG,MAGERR,FLAGS_EXTRACTION,FLAGS_SCAMP,FLAGS_IMA,PM,PMERR,PMALPHA,PMDELTA,PMALPHAERR,PMDELTAERR
9329,2976,9,1,1,1,2099.54832122,523.660658736,0.139785394073,0.139785394073,0.0,99.9711126778,0.253199792065,3.89285742131e-06,3.89285742131e-06,0.0,2021.48358185,-0.366644799709,0.0477878563106,0,32,0,0.0314107370878,0.00726947266713,-0.0153267486021,0.0274176076055,0.00514029338956,0.00514029338956
9330,2976,8,1,1,1,1599.13065245,2335.55021746,0.137885019183,0.137885019183,0.0,99.9711245341,0.253186725833,3.84032364309e-06,3.84032364309e-06,0.0,2021.4836772,-0.493870258331,0.0466066077352,0,32,0,0.0314107370878,0.00726947266713,-0.0153267486021,0.0274176076055,0.00514029338956,0.00514029338956
9331,2976,7,1,1,1,1599.24630899,3335.78993977,0.143495947123,0.143495947123,0.0,99.9711202304,0.253192885798,3.99580085286e-06,3.99580085286e-06,0.0,2021.48364541,-0.621320664883,0.0456900261343,0,32,0,0.0314107370878,0.00726947266713,-0.0153267486021,0.0274176076055,0.00514029338956,0.00514029338956
9690,3093,9,1,1,1,1633.35132572,913.588168498,0.00730155035853,0.00730155035853,0.0,99.9840630459,0.264031874406,3.43943582948e-07,3.43943582948e-07,0.0,2021.48358185,-3.71625328064,0.00510569522157,0,64,0,0.130787132022,0.023995592002,-0.00378466467373,0.130732357502,0.016967445612,0.016967445612
9691,3093,8,1,1,1,1134.49250846,2750.52236211,0.00733070028946,0.00733070028946,0.0,99.984030503,0.264714634993,3.4443226582e-07,3.4443226582e-07,0.0,2021.4836772,-3.7181122303,0.00510326540098,0,0,0,0.130787132022,0.023995592002,-0.00378466467373,0.130732357502,0.016967445612,0.016967445612
9692,3093,7,1,1,1,1134.29911641,3742.50802485,0.00720495730639,0.00720495730639,0.0,99.9840350286,0.264491389915,3.42379195217e-07,3.42379195217e-07,0.0,2021.48364541,-3.70847296715,0.00511484360322,0,0,0,0.130787132022,0.023995592002,-0.00378466467373,0.130732357502,0.016967445612,0.016967445612
10002,3239,10,1,1,1,936.091207165,122.89879731,0.172416657209,0.172416657209,0.0,99.9895443789,0.269851042096,4.79737536807e-06,4.79737536807e-06,0.0,2021.48361363,-2.5009458065,0.0213629473001,0,32,0,0.0988852744663,0.0338236831244,0.0472282096744,0.0868780389428,0.0239169560373,0.0239169560373
10003,3239,9,1,1,1,1435.82342842,1122.80601062,0.163426086307,0.163426086307,0.0,99.9895500037,0.26984367418,4.54811197415e-06,4.54811197415e-06,0.0,2021.48358185,-2.58291506767,0.0214099716395,0,32,0,0.0988852744663,0.0338236831244,0.0472282096744,0.0868780389428,0.0239169560373,0.0239169560373
10004,3239,8,1,1,1,936.8142134,2936.73442442,0.165067180991,0.165067180991,0.0,99.9895213795,0.269887597534,4.59375496575e-06,4.59375496575e-06,0.0,2021.4836772,-2.56029033661,0.0213671736419,0,32,0,0.0988852744663,0.0338236831244,0.0472282096744,0.0868780389428,0.0239169560373,0.0239169560373
10005,3239,7,1,1,1,936.395986005,3936.10514542,0.159908920527,0.159908920527,0.0,99.9895323542,0.26986954818,4.45074192612e-06,4.45074192612e-06,0.0,2021.48364541,-2.55483102798,0.0214668083936,0,32,0,0.0988852744663,0.0338236831244,0.0472282096744,0.0868780389428,0.0239169560373,0.0239169560373
10620,3410,10,1,1,1,2785.25110956,873.195636489,0.108583234251,0.108583234251,0.0,99.9381769121,0.290687113929,3.02894932247e-06,3.02894932247e-06,0.0,2021.48361363,-2.10433721542,0.0245995949954,0,32,0,0.148844944011,0.0557486117871,0.148843735456,-0.000599889783189,0.0394202210009,0.0394202210009
