,DITHER,ALPHA_J2000,DELTA_J2000,MAG_ISO,PM,CLASS_STAR,OBJECT
357,1,8.1203529556,-21.7025965483,20-21,0.1,0.0289653223008,galaxies
358,1,8.1000371407,-21.7010856445,23-24,0.1,0.0273676216602,galaxies
359,1,8.05258453545,-21.7009881551,25-26,0.1,0.000193309635506,galaxies
361,1,8.14411436388,-21.6989711541,22-23,0.1,0.988747417927,star
362,1,8.14231470234,-21.6965449588,23-24,0.1,0.020782539621,galaxies
366,1,8.11173280692,-21.6921354545,22-23,0.1,0.0165488012135,galaxies
370,1,8.08468896819,-21.6893552537,22-23,0.1,0.0267715863883,galaxies
371,1,8.0782706689,-21.6891877414,24-25,0.1,0.000623599684332,galaxies
372,1,8.0630990629,-21.6876724455,22-23,0.1,0.0285785906017,galaxies
375,1,8.09255321178,-21.6864806473,23-24,0.1,0.000647453591228,galaxies
376,1,8.12803475903,-21.6828867101,24-25,0.1,0.000466952566057,galaxies
377,1,8.08144235386,-21.6819677119,24-25,0.1,0.0123265823349,galaxies
381,1,8.12132911802,-21.6792308805,25-26,0.1,0.000384493090678,galaxies
382,1,8.12274216115,-21.6792125712,21-22,0.1,0.0285467151552,galaxies
384,1,8.12167737331,-21.6773952519,23-24,0.1,0.000452593463706,galaxies
385,1,8.10344131585,-21.6769383453,23-24,0.1,0.00031658084481,galaxies
386,1,8.12357972924,-21.6767894292,23-24,0.1,0.00493931490928,galaxies
387,1,8.1141536634,-21.6767625555,23-24,0.1,0.00030587479705,galaxies
390,1,8.12664047514,-21.664790107,24-25,0.1,0.00203817407601,galaxies
392,1,7.89559736659,-21.1846608001,21-22,0.1,0.0285942330956,galaxies
394,1,7.89338704381,-21.175395161,24-25,0.1,0.000455443485407,galaxies
396,1,7.89128491455,-21.167401373,26-27,0.1,0.700695335865,galaxies
403,1,7.90110686968,-21.1556966861,23-24,0.1,0.000318820413668,galaxies
404,1,7.93964824528,-21.1532742758,23-24,0.1,0.000400886900024,galaxies
408,1,7.95272116895,-21.148218843,22-23,0.1,0.000808966113254,galaxies
410,1,7.94199187456,-21.1449063923,22-23,0.1,0.000331191084115,galaxies
411,1,7.94558953183,-21.1417105758,23-24,0.1,0.000794318970293,galaxies
415,1,7.93792945553,-21.1378760686,23-24,0.1,0.023117499426,galaxies
419,1,7.97273998254,-21.1321610771,24-25,0.1,0.000295445555821,galaxies
423,1,7.89356377684,-21.150738018,24-25,0.1,0.000114767914056,galaxies
429,1,8.24672050599,-21.7263552492,23-24,0.1,0.0270083304495,galaxies
430,1,7.99946691518,-21.8688381342,21-22,0.1,0.0285493750125,galaxies
431,1,7.98269441135,-21.866530146,24-25,0.1,0.000297629419947,galaxies
433,1,7.98452093903,-21.8598231226,23-24,0.1,0.000651121896226,galaxies
435,1,8.02276117147,-21.859515821,25-26,0.1,0.00184077362064,galaxies
440,1,7.97988909687,-21.8570868916,23-24,0.1,0.00698831165209,galaxies
441,1,7.96541655001,-21.1160800045,23-24,0.1,0.0195325966924,galaxies
442,1,7.95395994888,-21.8560422279,24-25,0.1,0.00012061635789,galaxies
444,1,8.00899782753,-21.8543269567,23-24,0.1,0.0135697601363,galaxies
446,1,8.01109824174,-21.8529709487,22-23,0.1,0.00164029456209,galaxies
449,1,7.97245306465,-21.8498656702,25-26,0.1,0.000139059324283,galaxies
454,1,7.95227977815,-21.8457239871,24-25,0.1,0.000309680530336,galaxies
456,1,8.01870512317,-21.8422788542,23-24,0.1,0.000504090567119,galaxies
460,1,8.05811800867,-21.8387344581,22-23,0.1,0.0272370353341,galaxies
465,1,8.05228490581,-21.8344455457,24-25,0.1,0.0001905640529,galaxies
470,1,8.04178056027,-21.8328743688,23-24,0.1,0.00032823177753,galaxies
472,1,8.05986637588,-21.8306346499,23-24,0.1,0.190280884504,galaxies
474,1,8.06347998477,-21.8302717659,24-25,0.1,0.000171700768988,galaxies
475,1,8.04620429373,-21.8301191821,22-23,0.1,0.0280997809023,galaxies
476,1,8.02013585608,-21.8295276861,24-25,0.1,0.000302417378407,galaxies
477,1,8.03122114834,-21.8291625794,24-25,0.1,0.000322094274452,galaxies
481,1,8.06049728794,-21.8165627382,22-23,0.1,0.00116038462147,galaxies
483,1,8.05882008123,-21.8159235487,21-22,0.1,0.0285097025335,galaxies
486,1,7.96688104184,-21.8479028741,25-26,0.1,0.000168914353708,galaxies
489,1,8.03926619335,-21.8151128772,23-24,0.1,0.000378793105483,galaxies
490,1,8.03708486175,-21.7091389338,23-24,0.1,0.012104340829,galaxies
491,1,8.00309312833,-21.8128702526,25-26,0.1,0.000319178594509,galaxies
492,1,8.05422172526,-21.8120005773,21-22,0.1,0.0284712538123,galaxies
494,1,8.01526341504,-21.8104196295,25-26,0.1,0.000116152827104,galaxies
496,1,7.93660621246,-21.8046065879,21-22,0.1,0.000938664190471,galaxies
502,1,7.96092098205,-21.7899177478,22-23,0.1,0.000515498046298,galaxies
505,1,7.96852484299,-21.7875626207,23-24,0.1,0.000336475728545,galaxies
507,1,7.96460329024,-21.7832302833,24-25,0.1,0.000120786877233,galaxies
508,1,7.96932475744,-21.7819087625,24-25,0.1,0.000145944621181,galaxies
512,1,7.95360111935,-21.7794424745,24-25,0.1,0.000255337945418,galaxies
516,1,7.97595057659,-21.7760482144,23-24,0.1,0.000380791694624,galaxies
518,1,7.77473542358,-21.2206902436,24-25,0.1,0.000144024481415,galaxies
519,1,7.77337141041,-21.2186274793,21-22,0.1,0.0282829478383,galaxies
520,1,7.78365417105,-21.2162416033,24-25,0.1,0.000284397567157,galaxies
528,1,7.76994594144,-21.2103812351,26-27,0.1,0.000187803176232,galaxies
532,1,7.7917817383,-21.2090808534,22-23,0.1,0.985638618469,star
533,1,7.80223914107,-21.2075988035,21-22,0.1,0.000960730598308,galaxies
535,1,7.78299949921,-21.2062233152,22-23,0.1,0.000873731216416,galaxies
539,1,7.99212593655,-21.7693813277,23-24,0.1,0.000325248605805,galaxies
542,1,8.00389233024,-21.7688807866,23-24,0.1,0.000466285855509,galaxies
544,1,7.80569041725,-21.2021941116,22-23,0.1,0.000510433223099,galaxies
545,1,7.94800809611,-21.7676620196,23-24,0.1,0.000293798046187,galaxies
546,1,7.79976069208,-21.2014116868,23-24,0.1,0.000568603689317,galaxies
548,1,7.83324764042,-21.2006937928,22-23,0.1,0.000378279946744,galaxies
556,1,7.81026367448,-21.1942036748,24-25,0.1,0.000315992278047,galaxies
560,1,8.0187209455,-21.7637928114,23-24,0.1,0.995568215847,star
562,1,7.82452028937,-21.1868547685,23-24,0.1,0.000515542633366,galaxies
563,1,7.8289534225,-21.1842551068,25-26,0.1,0.000114224523713,galaxies
564,1,7.86425088911,-21.1842968418,21-22,0.1,0.0263516250998,galaxies
565,1,7.85015374328,-21.1804697668,24-25,0.1,0.000291341973934,galaxies
569,1,7.98744183896,-21.7576390347,23-24,0.1,0.000450676074252,galaxies
574,1,7.87305096845,-21.1647785039,24-25,0.1,0.000242208479904,galaxies
577,1,7.97353778293,-21.7531372182,24-25,0.1,0.000658539356664,galaxies
581,1,7.96460107343,-21.7498310849,25-26,0.1,0.12658251822,galaxies
584,1,7.79365486108,-21.198432061,26-27,0.1,0.694014370441,galaxies
585,1,7.78726840831,-21.1959006112,24-25,0.1,0.00037597559276,galaxies
586,1,8.00997289406,-21.7481928997,24-25,0.1,0.000170338244061,galaxies
589,1,7.95918109492,-21.7472589055,24-25,0.1,0.000199354442884,galaxies
591,1,7.93461431663,-21.747027536,22-23,0.1,0.00197557150386,galaxies
592,1,7.98204781543,-21.7467675839,24-25,0.1,0.000207153163501,galaxies
595,1,7.94937678135,-21.7458569312,24-25,0.1,0.000988475512713,galaxies
596,1,7.96351967376,-21.7440935506,26-27,0.1,0.00582335330546,galaxies
597,1,7.99001086377,-21.7419792896,25-26,0.1,0.000124429134303,galaxies
598,1,7.79520407323,-21.1867852726,24-25,0.1,0.000263144873315,galaxies
599,1,7.96697455987,-21.7403991958,24-25,0.1,0.000223333976464,galaxies
603,1,7.94915761908,-21.7357100513,22-23,0.1,0.0244910474867,galaxies
606,1,7.97025357479,-21.7344310694,25-26,0.1,0.000110144676,galaxies
608,1,8.01925515527,-21.7337258153,24-25,0.1,0.000199629008421,galaxies
610,1,7.7891250394,-21.1790035307,24-25,0.1,0.000123878300656,galaxies
614,1,8.00102710726,-21.727327634,21-22,0.1,0.0271215680987,galaxies
616,1,8.01776794568,-21.7252833497,23-24,0.1,0.000388464482967,galaxies
617,1,7.83541880454,-21.1741055005,24-25,0.1,0.000325582688674,galaxies
621,1,7.98920234326,-21.7176461803,25-26,0.1,0.00011633689428,galaxies
623,1,8.01083394178,-21.7090187514,23-24,0.1,0.000385939434636,galaxies
624,1,7.86932286638,-21.1563690133,23-24,0.1,0.000322834617691,galaxies
629,1,7.69782586706,-21.2618030181,23-24,0.1,0.000338796671713,galaxies
630,1,7.65775821626,-21.261177366,24-25,0.1,0.00275852461345,galaxies
635,1,7.74071874621,-21.2413911207,23-24,0.1,0.0211425814778,galaxies
641,1,7.73144441841,-21.2334777114,25-26,0.1,0.000130162326968,galaxies
642,1,7.76523006962,-21.2330428648,21-22,0.1,0.000924367515836,galaxies
649,1,7.70051964354,-21.2314915526,22-23,0.1,0.000322731328197,galaxies
650,1,7.7234061236,-21.2259738819,24-25,0.1,0.000273492420092,galaxies
657,1,7.74860730203,-21.2056161156,23-24,0.1,0.000367134955013,galaxies
661,1,8.29662631949,-21.1415535473,23-24,0.1,0.967266440392,star
666,1,8.29198052916,-21.1337415924,22-23,0.1,0.0280852504075,galaxies
668,1,8.31289698354,-21.131460893,21-22,0.1,0.0281259547919,galaxies
669,1,8.29881454282,-21.1308697324,24-25,0.1,0.000114668757305,galaxies
670,1,8.30947924974,-21.1305506697,20-21,0.1,0.0284240301698,galaxies
671,1,8.31983196942,-21.1293838455,20-21,0.1,0.012991739437,galaxies
675,1,8.29752513119,-21.1260945321,24-25,0.1,0.797338068485,star
676,1,8.32552955361,-21.1256699658,23-24,0.1,0.00061154452851,galaxies
677,1,8.30255991084,-21.1255460065,24-25,0.1,0.988745570183,star
678,1,8.30479986914,-21.1254408117,23-24,0.1,0.000290243857307,galaxies
679,1,8.31120990428,-21.1244000964,24-25,0.1,0.000889164803084,galaxies
680,1,8.27831267901,-21.1240494402,23-24,0.1,0.0245189871639,galaxies
682,1,8.33539916025,-21.1200353018,22-23,0.1,0.0278143342584,galaxies
683,1,8.34951554431,-21.1191607974,24-25,0.1,0.00020126538584,galaxies
684,1,8.35390628029,-21.1181735219,25-26,0.1,0.000102072146547,galaxies
689,1,8.3367853651,-21.1099826779,25-26,0.1,0.000250436307397,galaxies
692,1,8.33474874214,-21.1071840159,24-25,0.1,0.953066825867,star
693,1,8.34829850481,-21.1060152549,24-25,0.1,0.00626043044031,galaxies
696,1,8.36449766426,-21.1007929603,21-22,0.1,0.0013421945041,galaxies
699,1,8.36760018695,-21.0977643196,22-23,0.1,0.000671206042171,galaxies
700,1,8.36813316158,-21.0967667135,23-24,0.1,0.0254851356149,galaxies
