,DITHER,ALPHA_J2000,DELTA_J2000,MAG_ISO,PM,CLASS_STAR,OBJECT
33916,4,8.32596710898,-21.5131024646,25-26,0.1,0.000132579298224,galaxies
33917,4,8.32596710898,-21.5131024646,25-26,0.1,0.000132579298224,galaxies
33918,4,8.31775448539,-21.5126913763,20-21,0.1,0.0275952387601,galaxies
33919,4,8.31775448539,-21.5126913763,20-21,0.1,0.0275952387601,galaxies
33920,4,8.31285695838,-21.5115222609,22-23,0.1,0.000879414496012,galaxies
33921,4,8.31285695838,-21.5115222609,22-23,0.1,0.000879414496012,galaxies
33922,4,8.31111627905,-21.5114004816,24-25,0.1,0.0226359609514,galaxies
33923,4,8.31111627905,-21.5114004816,24-25,0.1,0.0226359609514,galaxies
33924,4,8.30565038513,-21.5112602014,21-22,0.1,0.00104318896774,galaxies
33925,4,8.30565038513,-21.5112602014,21-22,0.1,0.00104318896774,galaxies
33930,4,8.27473104989,-21.5107946893,25-26,0.1,0.00664860382676,galaxies
33931,4,8.27473104989,-21.5107946893,25-26,0.1,0.00664860382676,galaxies
33934,4,8.22819021982,-21.5103867044,23-24,0.1,0.000298675091472,galaxies
33935,4,8.22819021982,-21.5103867044,23-24,0.1,0.000298675091472,galaxies
33936,4,8.3080531932,-21.5099104475,21-22,0.1,0.0286052469164,galaxies
33937,4,8.3080531932,-21.5099104475,21-22,0.1,0.0286052469164,galaxies
33938,4,8.31981941203,-21.5096376744,21-22,0.1,0.0285199433565,galaxies
33939,4,8.31981941203,-21.5096376744,21-22,0.1,0.0285199433565,galaxies
33940,4,8.27661618359,-21.5095095682,24-25,0.1,0.00131084513851,galaxies
33941,4,8.27661618359,-21.5095095682,24-25,0.1,0.00131084513851,galaxies
33942,4,8.23482453984,-21.5083553594,22-23,0.1,0.000380373734515,galaxies
33943,4,8.23482453984,-21.5083553594,22-23,0.1,0.000380373734515,galaxies
33946,4,8.26896147499,-21.5068050745,23-24,0.1,0.000400075630751,galaxies
33947,4,8.26896147499,-21.5068050745,23-24,0.1,0.000400075630751,galaxies
33950,4,8.20709255305,-21.5056783655,21-22,0.1,0.000750533828977,galaxies
33951,4,8.20709255305,-21.5056783655,21-22,0.1,0.000750533828977,galaxies
33954,4,8.26486386268,-21.5048730928,24-25,0.1,0.000260330416495,galaxies
33955,4,8.26486386268,-21.5048730928,24-25,0.1,0.000260330416495,galaxies
33956,4,8.25143754092,-21.5042818563,24-25,0.1,0.000150182153448,galaxies
33957,4,8.25143754092,-21.5042818563,24-25,0.1,0.000150182153448,galaxies
33962,4,8.31785781958,-21.5035865404,21-22,0.1,0.000324770633597,galaxies
33963,4,8.31785781958,-21.5035865404,21-22,0.1,0.000324770633597,galaxies
33964,4,8.2051125657,-21.5028628578,23-24,0.1,0.00276470091194,galaxies
33965,4,8.2051125657,-21.5028628578,23-24,0.1,0.00276470091194,galaxies
33968,4,8.24958676693,-21.5021919561,24-25,0.1,0.000259225111222,galaxies
33969,4,8.24958676693,-21.5021919561,24-25,0.1,0.000259225111222,galaxies
33970,4,8.25765130779,-21.5021803791,21-22,0.1,0.000658958393615,galaxies
33971,4,8.25765130779,-21.5021803791,21-22,0.1,0.000658958393615,galaxies
33974,4,8.27806924371,-21.5016452607,24-25,0.1,0.00011478408851,galaxies
33975,4,8.27806924371,-21.5016452607,24-25,0.1,0.00011478408851,galaxies
33976,4,8.25142595373,-21.5014921946,25-26,0.1,0.000879885978065,galaxies
33977,4,8.25142595373,-21.5014921946,25-26,0.1,0.000879885978065,galaxies
33986,4,8.27869377781,-21.5001439175,26-27,0.1,0.00132357806433,galaxies
33987,4,8.27869377781,-21.5001439175,26-27,0.1,0.00132357806433,galaxies
33990,4,8.28290358256,-21.4985876431,22-23,0.1,0.987659335136,star
33991,4,8.28290358256,-21.4985876431,22-23,0.1,0.987659335136,star
